date,open,close,high,low,volume
2020-12-11,4957.82,4889.63,4957.82,4849.35,15935.77
2020-12-14,4903.63,4934.84,4937.26,4887.66,12080.16
2020-12-15,4931.6,4945.1,4954.19,4904.79,11834.26
2020-12-16,4957.3,4953.87,4968.86,4938.19,10677.9
2020-12-17,4960.73,5017.48,5021.62,4950.37,13338.55
2020-12-18,5014.32,4999.97,5027.44,4979.01,12804.96
2020-12-21,4995.76,5046.84,5048.51,4970.0,14081.18
2020-12-22,5034.98,4964.77,5055.13,4960.95,16234.5
2020-12-23,4977.3,5007.12,5028.45,4968.15,14029.28
2020-12-24,5006.01,5000.02,5033.04,4979.24,11441.87
2020-12-25,4985.77,5042.01,5042.1,4973.68,12100.7
2020-12-28,5042.94,5064.41,5089.34,5037.86,13691.44
2020-12-29,5071.45,5042.94,5077.42,5034.31,14119.87
2020-12-30,5037.98,5113.71,5113.71,5036.63,14862.64
2020-12-31,5122.48,5211.29,5215.62,5122.48,17160.25
2021-01-04,5212.93,5267.72,5284.43,5190.94,21171.14
2021-01-05,5245.84,5368.5,5368.5,5234.38,22493.12
2021-01-06,5386.51,5417.67,5433.47,5341.43,19377.34
2021-01-07,5428.39,5513.66,5513.66,5413.35,21987.21
2021-01-08,5526.29,5495.43,5547.47,5442.69,20432.5
2021-01-11,5504.24,5441.16,5555.69,5412.5,23183.6
2021-01-12,5419.5,5596.35,5596.35,5417.63,22422.02
2021-01-13,5609.26,5577.97,5644.72,5535.14,26156.99
2021-01-14,5556.21,5470.46,5568.02,5458.68,24368.34
2021-01-15,5471.39,5458.08,5500.63,5390.27,23863.74
2021-01-18,5438.16,5518.52,5541.46,5410.78,20705.19
2021-01-19,5525.97,5437.52,5532.48,5415.72,21104.34
2021-01-20,5439.91,5476.43,5496.05,5426.54,17091.33
2021-01-21,5492.96,5564.97,5593.11,5490.56,20995.02
2021-01-22,5562.38,5569.78,5573.66,5513.88,19930.0
2021-01-25,5564.12,5625.92,5655.48,5543.27,19704.7
2021-01-26,5600.9,5512.97,5600.9,5506.0,17190.46
2021-01-27,5505.77,5528.0,5534.99,5449.64,16019.08
2021-01-28,5450.37,5377.14,5462.24,5360.38,17048.56
2021-01-29,5413.97,5351.96,5430.2,5288.1,18217.88
2021-02-01,5356.85,5417.65,5422.3,5342.05,16631.37
2021-02-02,5429.7,5501.09,5503.21,5411.52,16521.06
2021-02-03,5499.3,5485.2,5532.89,5473.12,18805.43
2021-02-04,5453.98,5473.95,5510.05,5411.57,18057.57
2021-02-05,5494.7,5483.41,5550.77,5477.65,18969.96
2021-02-08,5506.14,5564.56,5576.49,5479.85,16403.38
2021-02-09,5584.17,5686.25,5686.25,5555.05,16488.73
2021-02-10,5709.68,5807.72,5823.42,5707.33,17016.98
2021-02-18,5922.07,5768.38,5930.91,5747.66,21884.87
2021-02-19,5734.02,5778.84,5787.89,5667.32,21447.58
2021-02-22,5785.51,5597.33,5785.51,5597.33,28212.44
2021-02-23,5542.68,5579.67,5644.76,5541.11,23380.77
2021-02-24,5591.48,5437.57,5598.83,5379.73,22542.86
2021-02-25,5494.47,5469.56,5527.63,5444.16,23073.6
2021-02-26,5343.9,5336.76,5416.32,5318.86,21226.45
2021-03-01,5389.25,5418.78,5421.56,5345.94,17746.35
2021-03-02,5453.28,5349.63,5454.97,5305.05,19651.11
2021-03-03,5327.35,5452.21,5452.4,5316.48,19470.91
2021-03-04,5388.48,5280.71,5392.37,5254.78,21277.52
2021-03-05,5191.97,5262.8,5307.82,5174.25,20262.8
2021-03-08,5299.79,5080.02,5326.26,5079.8,23023.16
2021-03-09,5066.15,4971.0,5094.31,4917.91,23071.1
2021-03-10,5047.06,5003.61,5055.28,4981.62,16992.85
2021-03-11,5024.56,5128.22,5138.41,5020.58,18960.08
2021-03-12,5153.67,5146.38,5153.67,5086.82,20102.06
2021-03-15,5116.12,5035.54,5120.88,4992.4,20415.31
2021-03-16,5054.41,5079.36,5084.31,5009.95,16139.01
2021-03-17,5062.77,5100.86,5123.55,5020.13,14916.24
2021-03-18,5114.59,5141.77,5160.46,5111.13,14290.15
2021-03-19,5068.53,5007.09,5089.92,4980.76,16417.48
2021-03-22,5008.4,5057.15,5071.34,4996.54,16740.26
2021-03-23,5057.06,5009.25,5064.02,4966.53,15801.4
2021-03-24,4985.4,4928.69,5024.33,4919.89,15938.6
2021-03-25,4904.07,4926.35,4950.76,4883.66,13294.52
2021-03-26,4953.95,5037.99,5050.83,4953.95,14592.67
2021-03-29,5052.26,5046.88,5086.65,5010.39,14338.82
2021-03-30,5043.1,5094.73,5106.04,5032.8,13861.86
2021-03-31,5085.95,5048.36,5085.95,5015.61,14133.57
2021-04-01,5059.94,5110.78,5115.43,5056.87,12032.49
2021-04-02,5129.85,5161.56,5169.83,5116.35,12700.23
2021-04-06,5178.64,5140.34,5181.15,5125.33,10983.42
2021-04-07,5141.66,5103.74,5141.66,5065.19,14576.37
2021-04-08,5078.26,5112.21,5129.13,5062.07,14177.1
2021-04-09,5100.04,5035.34,5100.04,5022.09,12841.65
2021-04-12,5026.98,4947.75,5045.6,4933.01,15264.43
2021-04-13,4949.81,4939.64,4994.54,4924.2,13291.94
2021-04-14,4945.69,4980.63,4987.12,4940.27,12086.08
2021-04-15,4969.91,4948.97,4969.91,4900.3,10882.94
2021-04-16,4966.9,4966.18,4979.17,4917.96,11123.99
2021-04-19,4966.41,5087.02,5088.21,4940.75,15476.98
2021-04-20,5065.78,5083.37,5119.86,5058.92,13654.17
2021-04-21,5055.24,5098.74,5110.56,5047.99,12463.73
2021-04-22,5114.28,5089.24,5119.22,5067.14,12116.76
2021-04-23,5088.83,5135.45,5149.98,5086.49,12205.7
2021-04-26,5156.59,5077.24,5181.11,5072.96,15138.2
2021-04-27,5076.64,5090.52,5095.98,5042.61,12396.18
2021-04-28,5073.97,5119.24,5119.45,5059.26,12062.03
2021-04-29,5128.28,5164.17,5170.59,5113.65,14009.25
2021-04-30,5156.36,5123.49,5163.25,5094.93,16012.16
2021-05-06,5098.8,5061.12,5132.9,5037.41,15882.26
2021-05-07,5073.46,4996.05,5093.75,4996.04,17225.83
2021-05-10,5001.44,4992.42,5019.39,4953.7,17082.06
2021-05-11,4956.08,5023.06,5033.49,4925.92,15152.65
2021-05-12,5003.82,5044.55,5051.17,4995.4,12661.91
2021-05-13,4992.35,4992.97,5022.08,4975.45,13227.94
2021-05-14,5007.63,5110.59,5112.98,4981.29,15942.62
