,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称
128,2026-06-15,000300,沪深300,CSI 300,600039,四川路桥,Sichuan Road&Bridge Co Ltd,上海证券交易所,Shanghai Stock Exchange
129,2026-06-15,000300,沪深300,CSI 300,600048,保利发展,"Poly Developments and Holdings Group Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
130,2026-06-15,000300,沪深300,CSI 300,600050,中国联通,China United Network Communications Co Ltd,上海证券交易所,Shanghai Stock Exchange
131,2026-06-15,000300,沪深300,CSI 300,600061,国投资本,"SDIC Capital Co., Ltd",上海证券交易所,Shanghai Stock Exchange
132,2026-06-15,000300,沪深300,CSI 300,600066,宇通客车,Zhengzhou Yutong Bus Co Ltd,上海证券交易所,Shanghai Stock Exchange
133,2026-06-15,000300,沪深300,CSI 300,600085,同仁堂,Beijing Tongrentang Co Ltd,上海证券交易所,Shanghai Stock Exchange
134,2026-06-15,000300,沪深300,CSI 300,600089,特变电工,TBEA Co Ltd,上海证券交易所,Shanghai Stock Exchange
135,2026-06-15,000300,沪深300,CSI 300,600104,上汽集团,SAIC Motor Co Ltd,上海证券交易所,Shanghai Stock Exchange
136,2026-06-15,000300,沪深300,CSI 300,600111,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",上海证券交易所,Shanghai Stock Exchange
137,2026-06-15,000300,沪深300,CSI 300,600115,中国东航,"China Eastern Airlines Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
138,2026-06-15,000300,沪深300,CSI 300,600118,中国卫星,China Spacesat Co Ltd,上海证券交易所,Shanghai Stock Exchange
139,2026-06-15,000300,沪深300,CSI 300,600150,中国船舶,China CSSC Holdings Limited,上海证券交易所,Shanghai Stock Exchange
140,2026-06-15,000300,沪深300,CSI 300,600160,巨化股份,Zhejiang Ju Hua Co Ltd,上海证券交易所,Shanghai Stock Exchange
141,2026-06-15,000300,沪深300,CSI 300,600176,中国巨石,"CHINA JUSHI CO., LTD.",上海证券交易所,Shanghai Stock Exchange
142,2026-06-15,000300,沪深300,CSI 300,600183,生益科技,"Shengyi Technology Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
143,2026-06-15,000300,沪深300,CSI 300,600188,兖矿能源,Yankuang Energy Group Company Limited,上海证券交易所,Shanghai Stock Exchange
144,2026-06-15,000300,沪深300,CSI 300,600196,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,上海证券交易所,Shanghai Stock Exchange
145,2026-06-15,000300,沪深300,CSI 300,600219,南山铝业,"Shandong Nanshan Aluminium Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
146,2026-06-15,000300,沪深300,CSI 300,600221,海航控股,"Hainan Airlines Holding Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
147,2026-06-15,000300,沪深300,CSI 300,600233,圆通速递,"YTO Express Group Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
148,2026-06-15,000300,沪深300,CSI 300,600276,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,上海证券交易所,Shanghai Stock Exchange
149,2026-06-15,000300,沪深300,CSI 300,600309,万华化学,"Wanhua Chemical Group Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
150,2026-06-15,000300,沪深300,CSI 300,600346,恒力石化,"Hengli Petrochemical Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
151,2026-06-15,000300,沪深300,CSI 300,600362,江西铜业,Jiangxi Copper Co Ltd,上海证券交易所,Shanghai Stock Exchange
